# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d 09_recalBases/bam/3_KB_A1.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	ba0bb487	417eef08	c7fe9b46
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	188677382
SN	filtered sequences:	64913426
SN	sequences:	123763956
SN	is sorted:	1
SN	1st fragments:	61881971
SN	last fragments:	61881985
SN	reads mapped:	123763956
SN	reads mapped and paired:	123763942	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	123763942	# proper-pair bit set
SN	reads paired:	123763956	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	474708	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	7819207
SN	total length:	12273464449	# ignores clipping
SN	total first fragment length:	6136633475	# ignores clipping
SN	total last fragment length:	6136830974	# ignores clipping
SN	bases mapped:	12273464449	# ignores clipping
SN	bases mapped (cigar):	12142511036	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	99
SN	average first fragment length:	99
SN	average last fragment length:	99
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	24.9
SN	insert size average:	1503.0
SN	insert size standard deviation:	2291.1
SN	inward oriented pairs:	72466357
SN	outward oriented pairs:	4977225
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	25	0	0	0	0	0	0	0	0	13844	9368	48457	80391	15726	126544	99681	264585	17157	49866	28789	23059	0	1989025	69321	3580799	18068741	12647208	20581997	4167413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	26	0	0	6	0	0	0	0	15333	0	51523	43608	69249	83962	116501	174077	158740	40517	13027	32342	23367	0	2051386	68487	3552353	17908595	12583598	20679940	4215360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	27	0	0	0	0	0	0	0	15834	0	53573	45359	70752	87970	122979	178226	161450	41732	13283	32605	23495	0	1982337	69343	3550790	17865851	12535285	20746420	4284687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	28	0	0	0	0	0	0	0	16460	0	53921	45183	71271	89125	122690	183392	163107	42083	12893	32628	23420	0	1980271	68989	3571233	17941601	12578424	20733742	4151538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	29	0	0	0	0	0	0	0	17211	0	55867	46407	73789	90732	128895	186576	166927	42860	13484	33245	24845	0	2022998	70896	3534697	17987205	12590160	20589609	4205568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	30	0	0	0	0	0	0	0	16733	0	55869	47857	72832	91505	126526	186241	168642	41882	13286	33588	24236	0	1989184	70970	3520445	17821209	12470529	20800838	4329599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	31	0	0	4594	0	0	0	0	17141	11580	55647	91650	17305	142684	116388	301817	18907	55131	33192	0	23651	0	1956931	70557	3534073	18017166	12516290	20650506	4246761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	32	0	0	0	0	0	0	0	17783	12159	56436	95501	17925	144578	115871	302441	19298	55729	33275	0	24034	0	1996767	72228	3499616	17921704	12553860	20719664	4223102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	33	0	0	12496	0	0	0	0	18459	12590	62670	98358	18929	151555	122646	316763	20434	58411	34894	0	24927	0	1957763	74528	3518921	17897901	12501785	20715387	4262554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	34	0	0	0	0	0	0	0	18340	12294	60598	97438	18624	149845	121111	317416	19578	58136	35280	0	24448	78009	1872098	165739	3823514	17811334	12506344	20611315	4080510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
